Characteristic	Overall	ILAE 1–2	ILAE 3–6	p
Patients, n	58	38	20	
Sex, n (%)				
Male	37 (63.8%)	28 (73.7%)	9 (45.0%)	0.0449
Female	21 (36.2%)	10 (26.3%)	11 (55.0%)	0.0449
Age at surgery (years)	23.0 ± 8.5; 21.0 [17.0, 29.0]; 8.0–46.0	21.9 ± 8.2; 19.0 [16.0, 26.5]; 10.0–46.0	25.1 ± 9.0; 24.5 [18.0, 32.2]; 8.0–40.0	0.1339
Epilepsy duration (years)	12.0 ± 8.2; 11.0 [6.0, 17.8]; 0.3–34.0	11.2 ± 7.9; 11.0 [4.0, 16.8]; 0.3–33.0	13.4 ± 8.6; 11.0 [7.8, 18.2]; 1.0–34.0	0.4221
Seizure frequency, n (%)				
Daily	14 (24.1%)	7 (18.4%)	7 (35.0%)	0.2029
Weekly	16 (27.6%)	9 (23.7%)	7 (35.0%)	0.3735
Monthly	28 (48.3%)	22 (57.9%)	6 (30.0%)	0.0560
SEEG, n (%)				
Yes	53 (91.4%)	33 (86.8%)	20 (100.0%)	0.1531
No	5 (8.6%)	5 (13.2%)	0 (0.0%)	0.1531
Histopathology, n (%)				
FCD I	1 (1.7%)	1 (2.6%)	0 (0.0%)	1.0000
FCD IIa	25 (43.1%)	14 (36.8%)	11 (55.0%)	0.2653
FCD IIb	10 (17.2%)	9 (23.7%)	1 (5.0%)	0.1407
Encephalomalacia	3 (5.2%)	2 (5.3%)	1 (5.0%)	1.0000
Nonspecific	19 (32.8%)	12 (31.6%)	7 (35.0%)	1.0000
Lesion side, n (%)				
Left	29 (50.0%)	18 (47.4%)	11 (55.0%)	0.7828
Right	29 (50.0%)	20 (52.6%)	9 (45.0%)	0.7828
Dominant resection cavity location, n (%)				
Frontal	17 (29.3%)	11 (28.9%)	6 (30.0%)	1.0000
Temporal	5 (8.6%)	4 (10.5%)	1 (5.0%)	0.6502
Parietal	8 (13.8%)	6 (15.8%)	2 (10.0%)	0.7015
Occipital	4 (6.9%)	3 (7.9%)	1 (5.0%)	1.0000
Operculo-insular	10 (17.2%)	5 (13.2%)	5 (25.0%)	0.2899
Central	1 (1.7%)	1 (2.6%)	0 (0.0%)	1.0000
Cingulate	2 (3.4%)	2 (5.3%)	0 (0.0%)	0.5402
Multilobar	11 (19.0%)	6 (15.8%)	5 (25.0%)	0.4866
MRI detectability, n (%)				
Intermediate	18 (31.0%)	13 (34.2%)	5 (25.0%)	0.5595
Difficult	40 (69.0%)	25 (65.8%)	15 (75.0%)	0.5595
Follow-up duration (years)	2.97 [1.95, 4.13]	2.48 [1.85, 3.84]	3.67 [2.62, 4.20]	0.0732
Postoperative imaging modality for mask, n (%)				
MRI	52 (89.7%)	33 (86.8%)	19 (95.0%)	0.6535
CT	6 (10.3%)	5 (13.2%)	1 (5.0%)	0.6535
rs-fMRI QC summary				
Mean FD (mm)	0.177 ± 0.068; 0.166 [0.139, 0.217]; 0.077–0.475	0.178 ± 0.069; 0.162 [0.139, 0.211]; 0.083–0.475	0.177 ± 0.068; 0.175 [0.133, 0.218]; 0.077–0.338	0.8636
Censor proportion	0.046 [0.017, 0.143]	0.046 [0.020, 0.141]	0.056 [0.011, 0.136]	1.0000
Standardized retained time (min)	5.019 [4.510, 5.172]	5.019 [4.520, 5.154]	4.964 [4.543, 5.200]	1.0000
Retained volumes (standardized to 240)	227.5 [200.8, 236.8]	227.5 [195.2, 235.8]	226.5 [207.2, 237.2]	0.8699
Resection cavity volume (cm³)	32.3 ± 17.8; 29.1 [20.2, 42.0]; 3.4–81.4	34.3 ± 18.4; 33.6 [20.5, 46.9]; 8.0–81.4	28.6 ± 16.4; 26.5 [19.2, 35.6]; 3.4–68.4	0.2989
