Experiment	Group	Description	Vertex DSC (mean)	Det(boxDSC>0.22) (overall)	Pinpointing (overall)	FP clusters/pt (overall)	Cluster precision (overall)	Cluster F1 (overall)	Rescue Det(boxDSC>0.22) among T1 Det(boxDSC) fails (n=17)	Rescue Pinpointing among T1 pinpointing fails within T1 Det(boxDSC) fails (n=14)	Rescue Det(boxDSC) rank (1=best)	Rescue Pinpointing rank (1=best)	Mean rescue rank	Rescue Det(PPV>=0.5) among T1 Det(PPV) fails within T1 Det(boxDSC) fails (n=15)	Rescue Det(PPV>=0.5) rank (1=best)
A1	A	Projection topk=4 (vs topk=3)	0.1371	0.421	0.342	1.711	0.167	0.239	6/17 (35.3%)	4/14 (28.6%)	6.5	2.5	3.6667	4/15 (26.7%)	2
A6	A	GCN depth=2	0.1269	0.421	0.263	1.368	0.202	0.273	7/17 (41.2%)	4/14 (28.6%)	3	2.5	4	3/15 (20.0%)	6.5
B2a	B	GAT3 baseline (embed+FC)	0.1185	0.447	0.263	1.079	0.262	0.330	10/17 (58.8%)	4/14 (28.6%)	1	2.5	5.5	2/15 (13.3%)	13
B2d	B	embedding + raw FC	0.1221	0.368	0.237	0.974	0.230	0.283	7/17 (41.2%)	3/14 (21.4%)	3	7.5	5.6667	3/15 (20.0%)	6.5
B6	B	kNN adjacency k=4	0.1215	0.368	0.289	1.342	0.182	0.243	7/17 (41.2%)	3/14 (21.4%)	3	7.5	5.6667	3/15 (20.0%)	6.5
A3	A	GroupFC adjacency (top10%)	0.0661	0.105	0.237	2.500	0.034	0.051	1/17 (5.9%)	4/14 (28.6%)	19	2.5	7.8333	4/15 (26.7%)	2
B2c	B	raw FC fingerprint	0.0960	0.289	0.211	1.053	0.194	0.232	5/17 (29.4%)	3/14 (21.4%)	10.5	7.5	8.1667	3/15 (20.0%)	6.5
A8	A	GCN depth=3	0.1307	0.368	0.237	1.368	0.195	0.255	6/17 (35.3%)	3/14 (21.4%)	6.5	7.5	9	2/15 (13.3%)	13
A2	A	GroupFC adjacency (top5%)	0.0974	0.289	0.289	2.579	0.090	0.138	4/17 (23.5%)	3/14 (21.4%)	15	7.5	9.6667	3/15 (20.0%)	6.5
A4	A	No EB shrinkage	0.0890	0.368	0.158	1.658	0.165	0.228	6/17 (35.3%)	2/14 (14.3%)	6.5	12	10.5	2/15 (13.3%)	13
B4	B	Local expert only	0.0838	0.237	0.132	1.579	0.125	0.164	4/17 (23.5%)	1/14 (7.1%)	15	16.5	11.1667	4/15 (26.7%)	2
A10b	A	GCN depth=4	0.1208	0.368	0.237	1.605	0.156	0.219	4/17 (23.5%)	2/14 (14.3%)	15	12	11.1667	3/15 (20.0%)	6.5
B7	B	kNN adjacency k=12	0.1138	0.342	0.184	0.868	0.241	0.283	5/17 (29.4%)	2/14 (14.3%)	10.5	12	11.8333	2/15 (13.3%)	13
B8	B	model selection = macro_ap_valid	0.0791	0.237	0.184	1.079	0.153	0.186	3/17 (17.6%)	3/14 (21.4%)	18	7.5	12.8333	2/15 (13.3%)	13
A7	A	GAT depth=2	0.1278	0.368	0.289	1.079	0.224	0.279	5/17 (29.4%)	1/14 (7.1%)	10.5	16.5	13.3333	2/15 (13.3%)	13
B3	B	FC expert only	0.1075	0.342	0.132	1.158	0.222	0.269	6/17 (35.3%)	1/14 (7.1%)	6.5	16.5	13.6667	1/15 (6.7%)	18
A10a	A	GAT depth=4	0.1231	0.342	0.184	1.158	0.203	0.255	4/17 (23.5%)	1/14 (7.1%)	15	16.5	14.8333	2/15 (13.3%)	13
B2b	B	FC only (no embedding; proj_only)	0.0988	0.342	0.158	1.132	0.191	0.245	5/17 (29.4%)	1/14 (7.1%)	10.5	16.5	15	1/15 (6.7%)	18
A5	A	BalancedSoftmax (class imbalance)	0.0598	0.184	0.132	1.553	0.095	0.125	4/17 (23.5%)	1/14 (7.1%)	15	16.5	16.5	1/15 (6.7%)	18
