Experiment	Group	Description	Laterality acc	Laterality bal-acc	Laterality AUC	Vertex DSC (mean)	Det(boxDSC>0.22)	Det(PPV>=0.5)	Pinpointing	Recall@0.15	FP clusters/pt	Cluster precision	Cluster F1	FP clusters/pt (PPV>=0.5)	Cluster precision (PPV>=0.5)	Cluster F1 (PPV>=0.5)
A6	A	GCN depth=2	82.7%	82.7%	0.846	0.1171	38.5%	25.0%	26.9%	32.7%	1.558	17.2%	0.238	2.019	13.9%	0.179
B2a	B	GAT3 baseline (embed+FC)	82.7%	82.7%	0.846	0.1102	38.5%	19.2%	23.1%	32.7%	1.212	21.3%	0.274	1.596	11.7%	0.146
A4	A	No EB shrinkage	82.7%	82.7%	0.846	0.0975	38.5%	15.4%	21.2%	30.8%	1.635	17.4%	0.240	2.058	7.0%	0.096
A1	A	Projection topk=4 (vs topk=3)	82.7%	82.7%	0.846	0.1134	36.5%	25.0%	28.8%	28.8%	1.788	14.8%	0.211	2.192	10.9%	0.152
A8	A	GCN depth=3	82.7%	82.7%	0.846	0.1109	32.7%	19.2%	23.1%	30.8%	1.462	17.0%	0.224	1.788	12.3%	0.150
A7	A	GAT depth=2	82.7%	82.7%	0.846	0.1084	30.8%	21.2%	25.0%	30.8%	1.173	18.5%	0.231	1.538	13.0%	0.161
B6	B	kNN adjacency k=4	82.7%	82.7%	0.846	0.1017	30.8%	25.0%	26.9%	26.9%	1.519	14.7%	0.199	1.827	12.8%	0.170
A10b	A	GCN depth=4	82.7%	82.7%	0.846	0.0977	30.8%	23.1%	19.2%	23.1%	1.673	13.1%	0.184	2.115	9.8%	0.138
B2b	B	FC only (no embedding; proj_only)	82.7%	82.7%	0.846	0.0950	30.8%	15.4%	17.3%	28.8%	1.154	17.8%	0.225	1.538	11.1%	0.129
B2d	B	embedding + raw FC	82.7%	82.7%	0.846	0.0950	30.8%	19.2%	19.2%	25.0%	1.135	18.4%	0.230	1.442	13.8%	0.161
A10a	A	GAT depth=4	82.7%	82.7%	0.846	0.1009	28.8%	11.5%	15.4%	23.1%	1.212	17.2%	0.216	1.519	9.2%	0.102
B3	B	FC expert only	82.7%	82.7%	0.846	0.0971	28.8%	17.3%	15.4%	23.1%	1.212	18.2%	0.223	1.519	10.2%	0.129
B7	B	kNN adjacency k=12	82.7%	82.7%	0.846	0.0938	28.8%	11.5%	15.4%	19.2%	0.962	20.5%	0.240	1.250	11.0%	0.112
A2	A	GroupFC adjacency (top5%)	82.7%	82.7%	0.846	0.0928	28.8%	28.8%	28.8%	25.0%	2.596	9.0%	0.138	2.904	9.0%	0.138
B2c	B	raw FC fingerprint	82.7%	82.7%	0.846	0.0791	23.1%	15.4%	17.3%	21.2%	1.077	16.2%	0.191	1.365	11.2%	0.130
B8	B	model selection = macro_ap_valid	82.7%	82.7%	0.846	0.0780	23.1%	11.5%	17.3%	19.2%	1.250	13.8%	0.173	1.538	8.0%	0.095
B4	B	Local expert only	82.7%	82.7%	0.846	0.0744	21.2%	13.5%	9.6%	15.4%	1.596	11.3%	0.148	1.731	7.2%	0.094
A5	A	BalancedSoftmax (class imbalance)	82.7%	82.7%	0.846	0.0469	17.3%	3.8%	9.6%	13.5%	1.615	8.7%	0.116	1.942	1.9%	0.026
A3	A	GroupFC adjacency (top10%)	82.7%	82.7%	0.846	0.0620	11.5%	23.1%	21.2%	19.2%	2.615	3.7%	0.056	2.904	7.9%	0.118
